utp_scholarship_survey_data
ID,Start time,Completion time,Email,Name,Last modified time,Name2,Programme,Year of Study,Which UTP scholarship did you apply for?,Did you receive the scholarship?,Are you a Malaysian Muslim student?,"Do you have any disciplinary record (Syariah, criminal, or UTP)?",CGPA when you applied,Total household income per month (RM),Number of dependents (including yourself),Are you active in extracurricular or community service activities?,Straight As for SPM results,Do you currently hold any other scholarships or financial aid at the time of application
1,11/3/25 14:55:14,11/1/25 10:50:49,nabila_22664928@utp.edu.my,NABILA HAMZAH,,Nabila Hamzah,Mechanical Engineering,Year 3,"['TAZU Scholarship', 'Yayasan UTP (YUTP) Full Scholarship']",No,Yes,Yes,3.7,6223,10,Yes,No,Yes
2,11/5/25 14:37:26,11/4/25 11:49:24,aisyah_23371220@utp.edu.my,AISYAH SALLEH,,Aisyah Salleh,Information Systems,Year 4,['Yayasan UTP (YUTP) Full Scholarship'],No,Yes,No,3.95,12847,1,No,Yes,No
3,11/6/25 15:44:47,11/3/25 9:32:37,keshwin_23043915@utp.edu.my,KESHWIN NG,,Keshwin Ng,Computer Engineering,Year 2,"['TAZU Scholarship', 'Yayasan UTP (YUTP) Full Scholarship']",No,No,No,3.84,10469,1,Yes,No,Yes
4,11/4/25 8:36:25,11/4/25 17:47:35,ahmad_22560867@utp.edu.my,AHMAD HAMZAH,,Ahmad Hamzah,Mechanical Engineering,Year 1,['Yayasan UTP (YUTP) Full Scholarship'],Yes,Yes,Yes,3.52,1911,9,No,Yes,Yes
5,11/3/25 17:21:36,11/3/25 20:34:32,letchumy_23825899@utp.edu.my,LETCHUMY CHONG,,Letchumy Chong,Information Systems,Year 2,['Yayasan UTP (YUTP) Full Scholarship'],No,No,Yes,3.72,13629,10,No,Yes,No
6,11/5/25 14:37:17,11/3/25 23:49:50,vignes_24051220@utp.edu.my,VIGNES NG,,Vignes Ng,Chemical Engineering,Year 2,['TAZU Scholarship'],Waiting for reply,No,Yes,3.77,2937,5,Yes,No,Yes
7,11/6/25 11:16:54,11/2/25 21:43:23,ain_22366095@utp.edu.my,AIN HAMZAH,,Ain Hamzah,Information Systems,Year 4,['Yayasan UTP (YUTP) Full Scholarship'],Waiting for reply,Yes,Yes,3.4,6446,3,Yes,No,Yes
8,11/6/25 18:36:48,11/1/25 18:31:17,navin_23679823@utp.edu.my,NAVIN LEE,,Navin Lee,Computer Engineering,Year 4,"['TAZU Scholarship', 'Yayasan UTP (YUTP) Full Scholarship']",No,No,Yes,3.27,7593,9,Yes,Yes,Yes
9,11/2/25 18:59:54,11/3/25 13:58:53,muhammad_22581311@utp.edu.my,MUHAMMAD ABDULLAH,,Muhammad Abdullah,Computer Engineering,Year 1,"['TAZU Scholarship', 'Yayasan UTP (YUTP) Full Scholarship']",Waiting for reply,Yes,No,3.26,4984,9,Yes,Yes,No
10,11/1/25 15:39:32,11/3/25 18:23:42,thinesh_23702993@utp.edu.my,THINESH CHONG,,Thinesh Chong,Electrical Engineering,Year 1,['Yayasan UTP (YUTP) Full Scholarship'],No,No,No,3.29,1804,3,Yes,No,No
11,11/5/25 20:18:39,11/1/25 19:46:10,sangeetha_22676622@utp.edu.my,SANGEETHA LIM,,Sangeetha Lim,Bachelor of Computer Science,Year 1,['TAZU Scholarship'],No,No,Yes,3.49,11691,1,Yes,No,No
12,11/5/25 11:59:52,11/5/25 22:16:42,aqil_23017046@utp.edu.my,AQIL ABDULLAH,,Aqil Abdullah,Civil Engineering,Year 1,['Yayasan UTP (YUTP) Full Scholarship'],Yes,Yes,Yes,3.62,7593,3,Yes,Yes,Yes
13,11/6/25 15:50:47,11/2/25 20:33:15,huimin_22256170@utp.edu.my,HUI MIN GOH,,Hui Min Goh,Chemical Engineering,Year 4,['Yayasan UTP (YUTP) Full Scholarship'],No,No,No,3.3,14163,7,Yes,No,Yes
14,11/5/25 15:38:36,11/3/25 12:58:52,farhan_23351233@utp.edu.my,FARHAN HASHIM,,Farhan Hashim,Electrical Engineering,Year 1,['Yayasan UTP (YUTP) Full Scholarship'],Waiting for reply,Yes,No,3.15,6439,4,No,Yes,Yes
15,11/6/25 22:42:13,11/1/25 17:20:22,ahmad_23060965@utp.edu.my,AHMAD HASHIM,,Ahmad Hashim,Electrical Engineering,Year 4,['TAZU Scholarship'],No,Yes,No,3.24,4093,3,Yes,Yes,Yes
16,11/5/25 18:35:55,11/4/25 16:49:11,keshwin_23062340@utp.edu.my,KESHWIN A/L RAJENDRAN,,Keshwin A/L Rajendran,Mechanical Engineering,Year 2,"['TAZU Scholarship', 'Yayasan UTP (YUTP) Full Scholarship']",No,No,No,3.4,13584,6,No,Yes,Yes
17,11/2/25 19:47:56,11/1/25 10:23:13,navin_23355156@utp.edu.my,NAVIN A/L VIGNESWARAN,,Navin A/L Vigneswaran,Civil Engineering,Year 2,"['TAZU Scholarship', 'Yayasan UTP (YUTP) Full Scholarship']",No,No,No,3.38,7076,3,No,Yes,No
